Fx_L,Fy_L,Fz_L,Fx_R,Fy_R,Fz_R,load_mag,ok_blind,tfall_blind,ok_clipped,tfall_clipped
0.04410681,0.84808904,-0.34320003,-3.2041736,-13.738752,-8.773918,17.52926,1,6.0,1,6.0
0.7583863,-0.18823077,-1.8228903,-1.9553365,-5.4563375,-11.966588,15.279705,1,6.0,1,6.0
0.3894415,-0.73242,-0.09082072,-1.3861278,-0.11125238,-0.91363853,2.498347,1,6.0,1,6.0
-3.3303351,-16.981379,-9.98377,-0.80357426,0.8895444,-9.533385,29.586796,1,6.0,1,6.0
-1.869535,-4.076982,-4.851314,22.245293,7.38654,-14.175224,33.999516,1,6.0,1,6.0
-5.458033,15.907328,-4.025048,-17.941341,-0.6378672,-0.48205906,35.251755,1,6.0,1,6.0
-4.734229,-19.405346,-13.052441,-2.4125788,0.5648628,-1.5925164,26.806442,1,6.0,1,6.0
9.623159,-0.44806513,-2.5068831,10.205232,-8.249908,-10.073262,26.497643,1,6.0,1,6.0
5.593396,-4.365957,-1.9934964,-17.931324,-4.510276,-1.5285282,25.92326,1,6.0,1,6.0
-10.246683,12.713012,-14.386823,-14.317896,18.914732,-5.4339776,46.09942,1,6.0,1,6.0
-4.6914425,-12.276241,-5.578091,15.569421,-7.4414616,-2.5759645,31.724506,1,6.0,1,6.0
3.7963965,-2.2434273,-0.76922584,5.779806,1.4832819,-0.93760884,10.516619,1,6.0,1,6.0
-1.7413484,-0.6355885,-1.8562641,5.3542056,-27.504683,-7.8428307,31.721209,1,6.0,1,6.0
1.2279054,20.900997,-7.1214395,-7.60431,1.5695556,-4.3251076,31.002972,1,6.0,1,6.0
17.965712,-6.052896,-17.517824,-9.975175,-17.499369,-8.234411,47.573288,1,6.0,1,6.0
-0.1864101,-14.506695,-22.427465,-0.5781169,-10.854159,-17.536324,47.342625,1,6.0,1,6.0
12.782171,-0.3224481,-8.407369,-13.992209,22.567993,-7.8803353,43.000973,1,6.0,1,6.0
