Fx_L,Fy_L,Fz_L,Fx_R,Fy_R,Fz_R,load_mag,cond,rmse,max,ss,rmse_L,rmse_R,base_rmse,base_tilt_max,fell
5.0682015,-5.3251643,-25.815521,6.3284745,-0.17993934,-10.056222,38.72502,no-FAME,0.06800583938325919,0.10696246535006981,0.06855228009005424,0.05546570642493759,0.08054597234158077,0.031407412907721054,3.9218237487199183,0
5.0682015,-5.3251643,-25.815521,6.3284745,-0.17993934,-10.056222,38.72502,FAME,0.08771669297209886,0.12864625995751294,0.08417458508636504,0.10217343451539342,0.07325995142880432,0.01780000786297559,3.4410188036553833,0
0.23198496,-1.1846244,-0.79966176,-17.924004,-18.475111,-0.60223824,27.196022,no-FAME,0.07977829466978056,0.12909017123046082,0.07148911125365807,0.09502307606181766,0.06453351327774348,0.060891245344568225,7.321436701926966,0
0.23198496,-1.1846244,-0.79966176,-17.924004,-18.475111,-0.60223824,27.196022,FAME,0.08817384862893472,0.11867833075638314,0.07937155137363724,0.094106364678978,0.08224133257889145,0.04731452266917886,3.4177564694199796,0
4.4095244,3.2025895,-2.3797069,-8.793387,-10.374829,-1.7576126,19.659851,no-FAME,0.05919800237967234,0.10396029495191322,0.05644130575767593,0.07393555160791618,0.044460453151428506,0.030598805587615855,4.228119252161045,0
4.4095244,3.2025895,-2.3797069,-8.793387,-10.374829,-1.7576126,19.659851,FAME,0.0669832117462563,0.11045000547554756,0.06220240099998121,0.07566993217254116,0.058296491319971444,0.00942760647283212,3.518461309175204,0
-17.11671,-8.430716,-0.5589954,3.5654218,0.4344888,-1.1943477,22.873676,no-FAME,0.07860454568364461,0.12911074205636608,0.08125576383564007,0.10885856156774436,0.04835052979954486,0.03467234259033133,6.205552094361364,0
-17.11671,-8.430716,-0.5589954,3.5654218,0.4344888,-1.1943477,22.873676,FAME,0.08053053380099902,0.13273601326072107,0.08626802839523195,0.08500265624598581,0.07605841135601223,0.0173871706673615,4.556323218122821,0
-20.787811,-1.956189,-11.139535,3.4648397,12.75352,-21.876755,49.224106,no-FAME,0.1117712847210057,0.1569834836959836,0.11602164230365536,0.14263593438608896,0.08090663505592242,0.033788787470231195,5.565633079176972,0
-20.787811,-1.956189,-11.139535,3.4648397,12.75352,-21.876755,49.224106,FAME,0.10187732901449974,0.15028002800315238,0.10696660368283058,0.10303023443590405,0.10072442359309543,0.022113120996435323,4.42686267024248,0
-13.801936,-10.258313,-5.9616947,-20.91897,12.699276,-0.87059444,42.68818,no-FAME,1.3478191667620458,1.6966676395105738,1.6034631816279996,1.2969876810729613,1.3986506524511306,0.7566571163279786,176.98001924206932,1
-13.801936,-10.258313,-5.9616947,-20.91897,12.699276,-0.87059444,42.68818,FAME,0.12618297055605943,0.17049445669862437,0.12170683967584428,0.11765173587903234,0.13471420523308653,0.04811962995986798,5.826212193914316,0
2.0971072,5.311225,-0.65483713,-1.0557396,-3.661545,-1.4208069,9.814639,no-FAME,0.06262264636303097,0.10825729513621674,0.062108699123864894,0.06760643257862364,0.057638860147438284,0.01747870473364336,4.062351198417722,0
2.0971072,5.311225,-0.65483713,-1.0557396,-3.661545,-1.4208069,9.814639,FAME,0.06383231021246778,0.10608604551733584,0.06376887679278033,0.07137727640935984,0.05628734401557572,0.016153479992270386,3.9678363060417317,0
3.0916145,-1.5049986,-0.7952892,-7.1643214,-22.411314,-11.053819,29.525043,no-FAME,0.0669965606871846,0.1072194454431439,0.058912477513392514,0.08048408069200709,0.053509040682362105,0.04929837107187043,4.121959388424557,0
3.0916145,-1.5049986,-0.7952892,-7.1643214,-22.411314,-11.053819,29.525043,FAME,0.10206489773391918,0.14238260726856025,0.09208402357222711,0.11354546998682599,0.09058432548101236,0.06068464715032288,2.7648100685637207,0
11.683022,1.2156988,-9.614393,3.0385163,9.946763,-11.585323,30.74807,no-FAME,0.07036022347214227,0.10452471104129343,0.06973080772324317,0.05106292313317388,0.08965752381111067,0.02701519329680417,3.5334630845577166,0
11.683022,1.2156988,-9.614393,3.0385163,9.946763,-11.585323,30.74807,FAME,0.07363688147807025,0.1104178638364371,0.07306482138096757,0.08560133792790874,0.06167242502823176,0.0240333553404771,3.4824250095829994,0
-21.4272,-10.640678,-5.1188407,1.6895254,15.600694,-15.855546,46.773033,no-FAME,0.10575322612077846,0.15477645717203176,0.11252407898224928,0.14119258345134497,0.07031386879021195,0.03496164313331365,6.765696358525,0
-21.4272,-10.640678,-5.1188407,1.6895254,15.600694,-15.855546,46.773033,FAME,0.0978771572523091,0.1454047641273842,0.10449163655246209,0.09520958767742842,0.10054472682718978,0.02274736563518969,4.838683330712082,0
-6.3018947,-1.3056445,-0.9938601,-3.0369322,-7.44884,-0.13550228,14.557296,no-FAME,0.06723407205193455,0.11725259972941324,0.06574092071592388,0.09005772150129626,0.044410422602572844,0.03540061478950488,5.289107263276775,0
-6.3018947,-1.3056445,-0.9938601,-3.0369322,-7.44884,-0.13550228,14.557296,FAME,0.06906994745374734,0.12131104011817508,0.06850315493569649,0.07693276782071755,0.06120712708677712,0.008846006073206483,4.157371109359775,0
1.7879362,0.70962363,-1.1747969,-6.0222073,-1.0933386,-2.0782006,8.717825,no-FAME,0.06213756136454596,0.10889627438268207,0.061310606957221916,0.07585510273569064,0.04842001999340128,0.02130796575629644,4.162752457138544,0
1.7879362,0.70962363,-1.1747969,-6.0222073,-1.0933386,-2.0782006,8.717825,FAME,0.06599465191124528,0.11221147708218401,0.0649513407232899,0.0706367692068648,0.06135253461562574,0.012136778428415679,3.9416849286080042,0
-10.503715,-2.0822346,-12.594515,-19.166801,0.43589363,-16.736633,41.980736,no-FAME,1.2848612983300032,1.7146232268494797,1.6337269628059845,1.2362238511435895,1.3334987455164167,0.7401628557638508,175.77921400370153,1
-10.503715,-2.0822346,-12.594515,-19.166801,0.43589363,-16.736633,41.980736,FAME,0.11652273080324926,0.16051144695740355,0.10921105486490572,0.11861088677268469,0.11443457483381383,0.04756984778771618,3.967397991850165,0
3.4774466,-2.9317274,-3.5251634,5.8797693,8.495229,-14.747554,23.76093,no-FAME,0.07252480992979995,0.10843667505787404,0.07315083696948885,0.060371845001361626,0.0846777748582383,0.02089866467828394,3.538107918819465,0
3.4774466,-2.9317274,-3.5251634,5.8797693,8.495229,-14.747554,23.76093,FAME,0.0775962336881112,0.11893023282488782,0.07682511894594521,0.09224012834445063,0.06295233903177175,0.025797052604741178,3.328831797446454,0
