Fx_L,Fy_L,Fz_L,Fx_R,Fy_R,Fz_R,load_mag,ok_rma,tfall_rma,ok_noforce,tfall_noforce
4.1088505,-2.8634448,-9.341401,10.821042,-9.511701,23.808073,29.778104782104492,1.0,6.0,1.0,6.0
-6.906399,-9.044609,-4.182076,-7.585598,13.890574,4.9992027,20.554183959960938,1.0,6.0,1.0,6.0
-13.770794,-12.277409,27.963724,-10.762604,9.027511,-27.586906,45.61476135253906,1.0,6.0,1.0,6.0
-14.504171,2.4099715,3.7339106,5.1018553,-0.5621851,12.689209,20.432376861572266,1.0,6.0,1.0,6.0
9.398108,-6.039116,-14.468124,6.438556,9.406022,4.141551,21.93633270263672,1.0,6.0,1.0,6.0
12.382668,5.1598463,-15.499457,-9.988412,3.085467,19.557434,30.198829650878906,1.0,6.0,1.0,6.0
3.1990733,-9.014537,23.2871,-3.1332817,4.6536317,1.9296284,25.864688873291016,1.0,6.0,1.0,6.0
6.8848968,13.263393,-16.447834,12.307673,12.410723,18.794645,33.94987487792969,1.0,6.0,1.0,6.0
1.3087498,-4.0466948,-22.526718,1.842023,-13.041887,29.820618,39.853416442871094,1.0,6.0,1.0,6.0
13.052173,-11.835141,-12.700154,2.3500774,10.049646,-8.966711,25.664058685302734,1.0,6.0,1.0,6.0
9.475607,3.8732445,5.1673837,-9.176106,-3.5455565,-19.738714,24.857187271118164,1.0,6.0,1.0,6.0
-14.917845,12.814636,3.2454302,0.7806675,-5.2336316,-6.499512,21.622529983520508,1.0,6.0,1.0,6.0
10.722128,-1.7886853,18.582647,0.70304185,14.820803,15.183,30.234949111938477,1.0,6.0,1.0,6.0
-13.992433,13.637714,3.6285572,-12.331931,8.435715,-3.646264,25.12916374206543,1.0,6.0,0.0,2.45
6.889663,-0.0031255893,-12.694727,14.458281,-0.43394583,5.3028064,21.118085861206055,1.0,6.0,1.0,6.0
-9.730331,-2.2431412,-5.2262197,2.141868,-2.3211482,-22.358492,25.236913681030273,1.0,6.0,1.0,6.0
10.895368,3.6064036,19.087257,-14.807734,11.325868,13.56741,32.057098388671875,1.0,6.0,1.0,6.0
1.2438366,14.852895,7.590388,8.179476,-12.395554,-13.195056,25.9698429107666,1.0,6.0,1.0,6.0
-6.008643,13.46831,27.544659,14.347971,6.2525625,-18.562946,39.569549560546875,1.0,6.0,1.0,6.0
-2.3193834,-1.1986458,-7.8357353,2.696101,8.674639,21.777,24.999422073364258,1.0,6.0,1.0,6.0
-14.15041,7.7318654,3.1566906,-5.409551,8.975891,3.8647692,19.868236541748047,1.0,6.0,1.0,6.0
-11.271502,-0.07731914,5.6354523,-9.374768,-5.3313985,-0.9300635,16.612831115722656,1.0,6.0,1.0,6.0
5.1187325,0.8793648,20.897472,5.175799,8.899176,23.929426,33.797645568847656,1.0,6.0,1.0,6.0
4.415685,8.573571,-21.271587,-9.146778,-8.240147,-24.839254,36.24964904785156,1.0,6.0,1.0,6.0
3.4615533,-2.5603244,-5.60938,2.3306367,-4.1307616,11.769267,14.526302337646484,1.0,6.0,1.0,6.0
-3.4896734,7.0345073,24.597538,3.0671754,-2.4765565,-10.321063,28.084983825683594,1.0,6.0,1.0,6.0
14.916298,6.334286,-27.415987,13.872693,1.2422996,-19.475414,39.84397506713867,1.0,6.0,0.0,1.704
14.42506,12.961791,19.362377,-12.832042,-11.62159,10.487919,34.069210052490234,1.0,6.0,1.0,6.0
5.5662594,-11.552021,-5.0769577,-0.00081529026,-2.791566,-8.230683,16.301685333251953,1.0,6.0,1.0,6.0
4.513778,6.8704534,19.788239,7.3229246,-14.990979,-10.20625,29.011615753173828,1.0,6.0,1.0,6.0
5.653402,12.822718,-29.402727,-9.683198,7.331422,26.620667,43.78444290161133,1.0,6.0,1.0,6.0
-3.3323572,14.037786,-8.097231,-3.3579981,10.556277,-18.042099,26.86927032470703,1.0,6.0,1.0,6.0
-10.947104,-14.558811,-25.282198,-13.113135,-10.832049,0.73041946,35.507869720458984,1.0,6.0,1.0,6.0
6.64465,10.909203,9.156875,6.776426,6.113573,-28.559208,33.851654052734375,1.0,6.0,1.0,6.0
0.76062965,14.435851,-13.569054,-12.366963,9.633093,-20.197914,32.354068756103516,1.0,6.0,1.0,6.0
-5.692744,13.716306,12.159124,-3.1472487,14.454849,23.005123,33.41365051269531,1.0,6.0,1.0,6.0
-0.42493924,-10.53708,26.628086,11.205679,10.313717,17.354853,36.78853988647461,1.0,6.0,1.0,6.0
11.684635,14.1788645,-22.390974,-0.8309899,-2.2768054,3.4101293,29.26482582092285,1.0,6.0,1.0,6.0
13.021305,11.698067,21.886698,12.378658,14.390661,-16.652796,37.72352981567383,1.0,6.0,0.0,2.74
-4.2661443,9.671215,-26.432152,7.9775133,14.219532,3.464855,32.98836135864258,1.0,6.0,1.0,6.0
2.145895,-0.6003623,-7.1537695,12.459719,0.11030938,-29.271208,32.6833610534668,1.0,6.0,1.0,6.0
-5.3439183,-8.028812,-4.2135563,-11.17791,7.603396,12.779618,21.374032974243164,1.0,6.0,1.0,6.0
2.829001,9.056417,-0.6690272,-12.793113,12.41513,13.005041,24.029144287109375,1.0,6.0,1.0,6.0
-4.8626633,12.705905,28.58774,-12.890212,-0.71558785,8.762701,35.295875549316406,1.0,6.0,1.0,6.0
-3.25143,-7.016092,16.541471,11.065629,10.913588,6.680321,24.891742706298828,1.0,6.0,1.0,6.0
11.708231,1.1680322,-11.468558,4.0220995,6.047057,-25.577015,31.255443572998047,1.0,6.0,1.0,6.0
-8.185272,-1.7174151,-13.8097925,-0.102849185,-6.1822724,-15.215642,23.03053092956543,1.0,6.0,1.0,6.0
3.6956143,12.930519,21.787212,-10.093698,8.029568,4.4626827,29.013975143432617,1.0,6.0,1.0,6.0
-12.47954,-13.784678,22.87843,5.212003,2.1205435,-6.348794,30.678131103515625,1.0,6.0,1.0,6.0
9.979324,6.960186,0.6423903,-5.4594784,-12.184646,29.521393,34.61542892456055,1.0,6.0,1.0,6.0
8.612949,3.4311974,-9.342257,6.326396,-3.2585871,25.42472,29.500709533691406,1.0,6.0,1.0,6.0
-7.818917,-14.149039,29.695042,-1.1893401,-12.787769,-20.879526,41.76149368286133,1.0,6.0,1.0,6.0
11.294527,6.5765934,-11.043387,0.22409582,-0.7149911,5.3976355,17.957456588745117,1.0,6.0,1.0,6.0
-13.242959,-14.520248,-19.037258,8.689972,-2.1438117,11.772906,31.102148056030273,1.0,6.0,1.0,6.0
-4.916488,7.73853,22.805887,-12.217636,-2.2878766,-21.807396,35.131649017333984,1.0,6.0,1.0,6.0
-10.491616,0.3827617,18.740124,2.362755,2.5890107,-11.244261,24.49758529663086,1.0,6.0,1.0,6.0
-1.489819,12.873127,10.073364,-9.082952,-11.319281,12.9550705,25.45328140258789,1.0,6.0,1.0,6.0
8.889729,-13.017525,27.504818,9.2441025,13.013067,24.066486,42.88341522216797,1.0,6.0,1.0,6.0
-8.080733,10.239518,25.542875,-0.33461893,5.5215135,-9.495441,30.71395492553711,1.0,6.0,1.0,6.0
-13.439361,-12.9993,14.89491,14.66086,9.713441,-15.663378,33.55725860595703,1.0,6.0,1.0,6.0
