load,cond,rmse,max,ss,base_rmse,base_tilt_max,max_payload_N,fell
1.9108851,no-FAME,0.2651006489791231,0.4628394258985011,0.25605736286199116,0.019604293481760817,3.818503154507959,125.64770354466606,0
1.9108851,FAME,0.26704303460853707,0.48961691786998607,0.26112102920567043,0.033113443705930175,3.755745689250611,132.47021425000457,0
0.80936015,no-FAME,0.26361126217070696,0.45869657035715,0.2532850397097622,0.023964820323090913,3.961253223841525,48.98317114267751,0
0.80936015,FAME,0.26545117517770034,0.4723628523575091,0.25692773131790386,0.030381648996677016,5.641555216921125,67.28565706168428,0
0.12292057,no-FAME,0.26337802190880366,0.4584709938699303,0.2531653890143266,0.027693659304648063,4.372589855925617,8.275032028479963,0
0.12292057,FAME,0.2631887777314089,0.4591136197769787,0.25331821988862613,0.02902294154369568,4.676208771578957,10.278536036424843,0
0.049582906,no-FAME,0.26298485168378916,0.4579924632140204,0.25268807540534266,0.02892222939152943,4.53034453412054,3.824751372586544,0
0.049582906,FAME,0.2627756245192652,0.4573875654859969,0.25227275147855316,0.02966836666576061,4.595290788283709,4.147278116689862,0
2.4398108,no-FAME,0.2660508374489643,0.46593983863927074,0.2572094790645308,0.01955631935502797,3.9271128758643234,207.84609690826528,0
2.4398108,FAME,0.26316562509812563,0.48687845751209463,0.2632222610961004,0.031708454460975526,4.9755899953768745,197.58511919047822,0
2.7382667,no-FAME,0.26644878388987714,0.4680800880269963,0.2575584126172729,0.020833940083476696,3.885716498517992,198.8957854826207,0
2.7382667,FAME,0.26172176134767994,0.48240098236916873,0.25682190059550924,0.035037233279725286,5.526849879097728,197.60605275551674,0
1.8199073,no-FAME,0.26492345711077514,0.4623593371428086,0.25581568166067103,0.01992001023364328,3.8231977805042363,129.27464857142897,0
1.8199073,FAME,0.2663848827373855,0.48442470334956117,0.2630169378616838,0.03243863880802949,3.7581199480688987,144.11166266749368,0
2.1884897,no-FAME,0.2656896100861117,0.46427958614501136,0.2567956186535104,0.019347121700012904,3.813145464467885,207.62415269091352,0
2.1884897,FAME,0.26460894748852637,0.48610248871114997,0.2516355574597652,0.0353115753452522,3.8706722779919893,200.00231438587429,0
1.630875,no-FAME,0.26465082717158883,0.46128404407535223,0.25528498100555336,0.02021815275351409,3.828726091488267,99.14117877272102,0
